trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 1.0}",25,0,-145.32435003204196,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",30,17,11.043003868371434,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.3333333333333333, 'e': 0.1111111111111111}",30,18,-92.08450296780337,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 2}",1
4,False,"{'a': 0.25, 'e': 0.0625}",35,18,20.750370834833692,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.2, 'e': 0.04}",25,18,5.738584723920548,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.16666666666666666, 'e': 0.027777777777777776}",25,13,21.357488383074976,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.14285714285714285, 'e': 0.02040816326530612}",25,0,-19.847391773625287,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.125, 'e': 0.015625}",35,18,-9.867132219858563,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.1111111111111111, 'e': 0.012345679012345678}",20,2,32.877292275941386,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.01}",25,11,21.564177261293803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.09090909090909091, 'e': 0.008264462809917356}",25,15,-25.622026973103132,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.08333333333333333, 'e': 0.006944444444444444}",25,3,33.17232814902597,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.07692307692307693, 'e': 0.005917159763313609}",30,20,17.20285002949244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.07142857142857142, 'e': 0.00510204081632653}",30,22,5.4691862939630855,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.06666666666666667, 'e': 0.0044444444444444444}",25,8,-7.9106322300927046,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.0625, 'e': 0.00390625}",30,12,30.024530931296532,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.058823529411764705, 'e': 0.0034602076124567475}",25,15,15.46959086571396,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.05555555555555555, 'e': 0.0030864197530864196}",30,16,24.56282605864541,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.05263157894736842, 'e': 0.002770083102493075}",25,6,-5.877719157105482,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.05, 'e': 0.0025}",25,11,4.4420048810962065,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,13,27.88310074270771,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,7,16.55984063702261,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,29.34026448533975,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,18.959444865487715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,10,25.03106689495369,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,18.692429292346635,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,16,15.23951516528452,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,24.829677559970214,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,16,27.664096630493468,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,12,23.91002359552987,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
