trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.5259199663923,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.51040428936462,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,4,-65.15839615532487,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.70531137067776,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.9630794843643,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.665541301093235,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.7050728743544,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.9805149697598,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.83485746327403,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.024111062743785,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-222.5641884872909,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-66.3727099541597,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,8,-18.70733201360441,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.50818996153419,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.2069156199819,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.7542296417038,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.83422357063807,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,3,-125.3718311079707,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-92.4653220973693,"{0: 22, 1: 3, 2: 10, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.07469282334202,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.17114093972864,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-25.943771667523357,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,1,-70.54449658099631,"{0: 10, 1: 7, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.16181125851448,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.018410041414565,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.95213163668475,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.76528230283722,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,1,-123.929610167791,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.51378982966843,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.36734676606504,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
